tag,stemtag,dendroID,sp,census1,crown2,illum2,lianas2,dbh1,growth,original
180172,,515,alsebl,10,4,2,4,107.88173,0.036419857,176
4522,,811,hirttr,12,1,2,0,246.3296174,0.041309132,195
515101,,484,sponmo,8,4,3,1,135.6471392,0.046183214,93
180172,,515,alsebl,8,4,2,3,107.775549,0.049957198,175
4522,,811,hirttr,10,2,2,0,246.2687921,0.063946944,194
180302,,516,luehse,10,4,4,4,269.5827402,0.09938154,182
5838,2,2176,pri2co,6,3,1,0,340.000017,0.10485291,124
187212,,499,sponra,2,4,1,NULL,156.6572829,0.11639108,128
4522,,811,hirttr,6,2,2,0,246.0351931,0.117456967,192
186009,,479,poutre,12,4,3,1,243.1661109,0.118934036,77
6089,,464,cecrin,6,3,3,0,396.0186695,0.123282234,47
180302,,516,luehse,4,4,4,NULL,267.7965574,0.134851499,179
4522,,811,hirttr,8,2,2,0,246.1375934,0.13939319,193
186401,,473,faraoc,10,4,1,4,145.9723654,0.175789049,104
187212,,499,sponra,8,4,3,3,157.7856713,0.17992416,131
5891,,481,alsebl,12,4,4,3,429.6626715,0.196577384,71
4522,,811,hirttr,2,4,1,NULL,245.9136182,0.258169666,190
180850,,488,ingas1,6,4,2,1,143.0042875,0.280341646,232
180302,,516,luehse,6,4,3,2,267.9154647,0.294640252,180
616029,,510,solaha,4,4,1,NULL,95.13801313,0.311453054,148
180172,,515,alsebl,4,4,1,NULL,107.0939439,0.31307465,173
186009,,479,poutre,4,4,1,NULL,240.2763036,0.333727231,73
187363,,500,faraoc,2,1,1,NULL,65.30081588,0.354084186,140
186009,,479,poutre,10,4,3,1,242.7753527,0.403069771,76
5838,2,2176,pri2co,10,3,2,0,340.4146394,0.465116005,126
5838,2,2176,pri2co,8,3,2,0,340.0669582,0.511894901,125
515101,,484,sponmo,4,1,1,NULL,135.0353851,0.522002537,91
5891,,481,alsebl,4,4,4,NULL,427.1726706,0.543855647,67
5838,2,2176,pri2co,4,4,1,NULL,339.6045734,0.568927392,123
187212,,499,sponra,12,4,3,1,157.7728528,0.590070591,133
6089,,464,cecrin,4,4,5,NULL,395.6447593,0.626648322,46
5891,,481,alsebl,2,4,2,NULL,426.820951,0.649882063,66
186009,,479,poutre,2,4,1,NULL,239.6435671,0.657014335,72
180172,,515,alsebl,2,4,2,NULL,105.5863642,0.691824681,172
5607,,513,gustsu,12,2,3,1,290.2271924,0.720457703,165
5607,,513,gustsu,6,3,2,0,290.6231619,0.722992699,162
5891,,481,alsebl,6,4,3,0,427.4765052,0.798772355,68
180302,,516,luehse,2,4,2,NULL,267.0899101,0.815554212,178
180138,,512,tab2ar,6,4,3,4,235.8169418,0.825309806,155
187212,,499,sponra,4,4,2,NULL,156.8269933,0.870454705,129
180850,,488,ingas1,2,4,1,NULL,142.0099217,0.87740649,230
186401,,473,faraoc,2,4,2,NULL,139.485403,0.911878371,100
186401,,473,faraoc,4,4,2,NULL,140.988067,1.032379993,101
5894,,480,virosu,6,3,4,4,449.6867172,1.053383002,62
180138,,512,tab2ar,8,4,4,4,236.5732611,1.092043515,156
186009,,479,poutre,8,3,2,1,241.7047831,1.131561716,75
186009,,479,poutre,6,4,1,1,240.604126,1.222680116,74
5838,2,2176,pri2co,12,3,2,0,340.7337165,1.259245383,127
194104,,457,simaam,4,4,4,NULL,245.4628321,1.303423514,20
616028,,4053,ceibpe,6,2,3,0,196.243095,1.358028338,144
515065,,482,sapiau,12,4,3,3,164.5956587,1.363651027,89
5885,,486,jac1co,12,4,5,0,679.8037793,1.417028444,83
180862,,490,apeime,2,4,1,NULL,268.9171976,1.422839477,207
515101,,484,sponmo,10,4,2,1,135.7251458,1.551785155,94
5891,,481,alsebl,8,4,3,1,427.9306806,1.599871339,69
6089,,464,cecrin,2,4,5,NULL,394.7151909,1.611807388,45
181032,,494,pri2co,2,4,2,NULL,250.8514518,1.638629343,233
180302,,516,luehse,8,4,3,4,268.1534009,1.676841225,181
5891,,481,alsebl,10,4,4,1,428.7724015,1.705204291,70
5894,,480,virosu,12,4,4,3,451.106925,1.724267831,65
616029,,510,solaha,2,4,1,NULL,90.62119232,1.810388174,147
147603,,807,micoar,2,4,1,NULL,219.7220491,1.935280986,13
147603,,807,micoar,4,4,3,NULL,221.7536981,2.037809167,14
5633,,493,pla1pi,8,4,4,1,457.4619332,2.146255505,227
6081,,460,jac1co,12,4,5,1,549.6571909,2.159636251,33
5894,,480,virosu,10,4,4,4,449.952666,2.231852938,64
515065,,482,sapiau,2,4,1,NULL,143.3102486,2.281012566,84
186401,,473,faraoc,6,4,1,4,142.7070506,2.309009325,102
5637,,491,jac1co,10,1,3,0,807.5063373,2.354226944,217
263675,,8,virose,4,4,4,NULL,239.208568,2.373650456,4
515101,,484,sponmo,12,4,2,2,138.3920484,2.388768515,95
194279,,461,hassfl,12,4,3,4,222.0986793,2.459890474,39
194279,,461,hassfl,10,4,3,4,219.4436323,2.501995935,38
515101,,484,sponmo,2,4,2,NULL,130.5094861,2.600315416,90
5608,,514,guargu,8,4,4,4,411.4865176,2.641003789,169
263675,,8,virose,6,4,3,2,241.4219593,2.799173527,5
194279,,461,hassfl,8,4,3,4,216.3815502,2.887436263,37
515065,,482,sapiau,4,4,2,NULL,146.9424354,2.978837096,85
181032,,494,pri2co,4,4,2,NULL,252.3606323,2.994419968,234
180376,,517,cupala,8,4,4,3,268.4913567,3.016829181,187
5633,,493,pla1pi,10,4,4,1,458.5061226,3.13640579,228
180862,,490,apeime,4,4,3,NULL,270.1404953,3.145140009,208
194279,,461,hassfl,4,4,2,NULL,208.3336573,3.147056117,35
180862,,490,apeime,6,2,3,3,272.9058096,3.189227156,209
263675,,8,virose,12,4,3,3,247.2375219,3.299842375,8
5894,,480,virosu,4,4,4,NULL,447.9255368,3.310939362,61
5847,,1851,pri2co,12,4,5,0,950.0658856,3.322263575,115
180376,,517,cupala,12,4,4,4,277.7261078,3.389547972,189
194279,,461,hassfl,2,4,2,NULL,204.5852953,3.395574013,34
263675,,8,virose,8,4,4,3,243.7652238,3.564372276,6
180138,,512,tab2ar,12,4,4,4,237.6183611,3.676777578,158
515065,,482,sapiau,8,1,3,2,159.3130396,3.765265709,87
5633,,493,pla1pi,2,4,4,NULL,446.8280824,3.786712017,224
5637,,491,jac1co,8,1,4,0,806.456708,3.80146848,216
180862,,490,apeime,10,3,3,2,280.0995815,3.953377563,211
180862,,490,apeime,12,3,3,4,283.6088486,4.004579864,212
147603,,807,micoar,8,4,3,0,228.7923319,4.095691815,16
616028,,4053,ceibpe,10,4,4,0,205.5883987,4.100621416,146
181032,,494,pri2co,8,4,3,4,261.4314351,4.302522014,236
194279,,461,hassfl,6,4,2,4,211.871408,4.448628119,36
263675,,8,virose,2,4,4,NULL,234.6541359,4.496093029,3
181032,,494,pri2co,12,4,3,4,269.4666375,4.56017624,238
616029,,510,solaha,6,3,3,1,95.9080977,4.761529324,149
147603,,807,micoar,10,4,3,1,232.903665,4.770087856,17
5608,,514,guargu,6,4,3,4,408.9415604,4.823163246,168
181032,,494,pri2co,10,4,3,4,265.2073915,4.860308933,237
147603,,807,micoar,6,4,3,0,223.9136136,5.147328866,15
147603,,807,micoar,12,4,3,0,237.6534285,5.215173273,18
5847,,1851,pri2co,2,4,5,NULL,933.3409375,5.230711551,110
515065,,482,sapiau,6,4,3,3,151.6548653,5.484996038,86
516080,,496,micoar,2,4,2,NULL,120.0535872,5.49584605,239
516080,,496,micoar,6,4,3,2,141.161209,5.564956103,241
5633,,493,pla1pi,12,4,4,1,460.1189132,5.600198097,229
180862,,490,apeime,8,2,3,4,275.6521034,5.918486195,210
180376,,517,cupala,6,4,3,4,263.6496012,5.951692711,186
516080,,496,micoar,4,4,3,NULL,130.2304273,6.280057978,240
5885,,486,jac1co,6,4,5,0,662.795304,6.368153574,80
6081,,460,jac1co,6,4,4,1,534.3778481,6.483711115,30
5633,,493,pla1pi,4,4,4,NULL,448.7876132,6.488215955,225
5608,,514,guargu,10,4,4,4,412.9548415,6.773890037,170
5636,,487,quaras,6,4,3,1,333.0716449,6.812856059,198
616028,,4053,ceibpe,8,4,3,0,197.7396618,6.906302369,145
5847,,1851,pri2co,6,4,4,0,939.510077,6.951248352,112
180138,,512,tab2ar,2,4,3,NULL,221.0145268,6.985245813,153
5636,,487,quaras,4,4,3,NULL,327.7970866,7.30062288,197
5608,,514,guargu,12,4,4,4,416.8111038,7.389126951,171
185937,,476,jac1co,12,4,5,0,445.4271302,7.39648731,59
180138,,512,tab2ar,4,4,5,NULL,228.22094,7.461986603,154
5894,,480,virosu,2,4,4,NULL,444.0582025,7.463661029,60
181032,,494,pri2co,6,4,2,4,255.1477385,7.498304337,235
251599,,77,micoar,4,4,3,NULL,204.0488213,7.562520118,10
180376,,517,cupala,10,4,4,3,271.0542773,7.751032428,188
194349,,465,ingama,10,3,3,1,392.4496492,7.945328742,44
515114,,485,tratas,4,4,4,NULL,256.2987467,7.968423793,97
6081,,460,jac1co,8,4,5,1,537.2358953,8.065751616,31
616028,,4053,ceibpe,4,4,4,NULL,186.0000095,8.311102007,143
194349,,465,ingama,6,4,3,1,379.8445385,8.458961784,42
5906,,1849,pri2co,6,3,3,4,721.4727133,8.59874856,50
180376,,517,cupala,4,4,5,NULL,255.8083237,8.622896508,185
251599,,77,micoar,2,4,4,NULL,193.2410156,8.969061871,9
5840,,1852,vochfe,4,4,4,NULL,790.0688062,9.125643609,117
5608,,514,guargu,4,4,5,NULL,403.6034149,9.182348765,167
5906,,1849,pri2co,10,4,4,3,728.9562505,9.239426791,52
180870,,489,jac1co,6,4,4,0,476.1629118,9.271999308,203
194349,,465,ingama,4,4,2,NULL,373.9127727,9.465237251,41
251599,,77,micoar,8,4,2,0,222.7674988,9.480869335,12
194349,,465,ingama,2,4,3,NULL,367.7255255,10.0669166,40
5633,,493,pla1pi,6,3,4,1,452.225847,10.08358878,226
251599,,77,micoar,6,4,3,0,212.2143328,10.38997002,11
185937,,476,jac1co,6,4,4,0,417.5317063,10.93881801,56
6081,,460,jac1co,2,4,5,NULL,517.5566369,11.00112518,28
180376,,517,cupala,2,4,4,NULL,245.4657648,11.18643638,184
180870,,489,jac1co,8,4,5,0,480.7400028,11.21082791,204
187351,,501,poutre,12,4,3,1,469.0603372,11.50066493,139
5608,,514,guargu,2,4,4,NULL,396.8343293,11.69084937,166
5847,,1851,pri2co,8,4,4,1,941.2371415,12.5259857,113
180870,,489,jac1co,2,4,3,NULL,460.051817,12.58911926,201
5840,,1852,vochfe,2,2,4,NULL,786.3769354,12.73271301,116
5906,,1849,pri2co,4,4,4,NULL,717.2167253,12.82407553,49
5636,,487,quaras,2,4,2,NULL,318.5832588,12.85040246,196
5631,,492,guatdu,6,4,4,1,553.3079929,12.98789009,221
279523,,4050,turpoc,6,4,2,4,275.3552962,13.02858629,24
194349,,465,ingama,8,4,3,1,384.6485935,13.11633674,43
185937,,476,jac1co,8,4,5,0,423.6907403,13.95414537,57
194104,,457,simaam,2,4,2,NULL,231.7130422,14.39399655,19
5906,,1849,pri2co,12,4,4,4,731.9035731,14.40767251,53
279523,,4050,turpoc,8,4,3,3,285.4421508,14.95152387,25
5906,,1849,pri2co,8,3,4,4,724.2897426,15.21783852,51
5631,,492,guatdu,4,4,4,NULL,546.3249969,16.08230039,220
5838,1,498,pri2co,2,4,5,NULL,727.7671628,16.69721934,118
516080,,496,micoar,8,4,3,3,149.4508764,16.9868036,242
515114,,485,tratas,2,4,2,NULL,240.307898,17.18174608,96
5631,,492,guatdu,2,4,4,NULL,538.9247126,17.32872384,219
279523,,4050,turpoc,4,4,2,NULL,260.0000198,17.40266372,23
185937,,476,jac1co,2,4,5,NULL,394.01333,17.59187378,54
187351,,501,poutre,8,4,3,1,449.1282812,18.11344936,137
5885,,486,jac1co,2,4,5,NULL,641.6002806,18.56508022,78
616029,,510,solaha,8,3,4,1,106.1114326,18.62563515,150
5636,,487,quaras,8,4,3,1,337.8682024,18.73393501,199
180870,,489,jac1co,10,4,5,0,485.9082985,18.84219899,205
5847,,1851,pri2co,4,2,4,NULL,934.6209003,19.19085349,111
187351,,501,poutre,2,4,3,NULL,414.1617172,19.21551324,134
194104,,457,simaam,6,4,3,4,246.713807,19.36695951,21
180870,,489,jac1co,4,4,4,NULL,466.3498873,19.37085334,202
187351,,501,poutre,6,4,3,0,438.7161072,19.57015407,136
5906,,1849,pri2co,2,4,4,NULL,710.773838,19.90623498,48
5885,,486,jac1co,8,4,5,0,664.8534225,19.97382582,81
194113,,459,jac1co,2,4,4,NULL,294.2545913,20.08138729,26
5631,,492,guatdu,8,4,4,0,558.8245243,20.71139186,222
6081,,460,jac1co,10,4,5,1,540.5802889,20.94955134,32
187351,,501,poutre,10,4,4,1,458.1522594,21.70382838,138
147675,,810,simaam,2,4,3,NULL,526.4128384,22.65422013,159
185937,,476,jac1co,4,4,4,NULL,404.1994819,22.94515506,55
515114,,485,tratas,6,4,3,0,263.5395735,23.11853422,98
5885,,486,jac1co,10,4,5,0,671.7033577,23.23882271,82
5847,,1851,pri2co,10,4,4,1,944.2399603,23.68229591,114
515114,,485,tratas,8,4,3,1,281.9407546,24.46774011,99
194113,,459,jac1co,8,4,4,0,323.3602542,24.63619675,27
187351,,501,poutre,4,4,3,NULL,424.7482411,25.5323297,135
6081,,460,jac1co,4,4,5,NULL,522.3786009,26.84385467,29
185937,,476,jac1co,10,4,5,0,430.9666841,27.19504549,58
5631,,492,guatdu,10,4,4,0,567.022527,27.73724769,223
5636,,487,quaras,10,4,4,1,350.0048537,29.63655597,200
5637,,491,jac1co,2,4,5,NULL,774.1697825,30.8648482,213
5637,,491,jac1co,6,2,4,0,797.3206303,31.01843115,215
5869,,1850,aspicr,2,4,5,NULL,732.4318856,38.47718509,106
5885,,486,jac1co,4,4,5,NULL,648.2526046,39.93210485,79
5869,,1850,aspicr,4,4,5,NULL,744.3413994,44.33416678,107
5637,,491,jac1co,4,4,5,NULL,783.3539748,46.23741117,214
5869,,1850,aspicr,6,4,4,0,758.4274021,47.00180623,108
5838,1,498,pri2co,4,4,5,NULL,732.9919681,51.08205649,119
5838,1,498,pri2co,6,4,5,0,749.2709469,51.22575778,120
5869,,1850,aspicr,8,4,5,0,772.9646175,54.95939976,109
5838,1,498,pri2co,8,4,5,1,763.9685066,59.54759376,121
